,年,1月,年の値
0,1875,,1219.2
1,1876,114.8,1755.5
2,1877,46.5,1317.3
3,1878,94.5,1764.2
4,1879,76.3,1492.7
5,1880,20.2,1685.7
6,1881,44.2,1444.4
7,1882,46.0,1478.3
8,1883,72.0,1552.6
9,1884,31.6,1314.8
10,1885,47.1,1531.7
11,1886,37.0,1290.3
12,1887,111.9,1250.0
13,1888,2.5,1378.5
14,1889,22.4,1319.3
15,1890,61.7,1958.2
16,1891,30.5,1220.8
17,1892,13.6,1715.1
18,1893,50.9,1161.3
19,1894,42.5,1320.8
20,1895,43.5,1397.8
21,1896,35.9,1373.9
22,1897,88.1,1497.2
23,1898,126.9,1711.9
24,1899,30.1,1649.1
25,1900,69.2,1188.0
26,1901,74.4,1588.9
27,1902,33.4,1753.7
28,1903,122.4,1912.2
29,1904,7.0,1381.8
30,1905,59.8,1330.1
31,1906,62.5,1519.5
32,1907,47.1,1640.4
33,1908,28.3,1692.1
34,1909,103.9,1511.7
35,1910,119.8,1750.7
36,1911,97.5,1866.9
37,1912,49.9,1734.3
38,1913,61.1,1597.0
39,1914,23.5,1694.4
40,1915,94.0,1926.7
41,1916,27.5,1930.8
42,1917,33.0,1307.9
43,1918,10.0,1336.5
44,1919,85.1,1534.2
45,1920,62.6,2193.7
46,1921,56.5,2025.2
47,1922,60.5,1411.2
48,1923,64.2,1697.4
49,1924,8.7,1475.3
50,1925,43.1,1712.5
51,1926,7.3,1176.8
52,1927,20.3,1444.9
53,1928,71.7,1750.4
54,1929,1.7,1909.1
55,1930,41.4,1476.2
56,1931,73.0,1564.5
57,1932,38.7,1690.0
58,1933,58.4,1011.3
59,1934,18.4,1246.7
60,1935,58.6,1656.8
61,1936,32.1,1627.6
62,1937,78.1,1359.0
63,1938,32.0,2229.6
64,1939,35.1,1750.0
65,1940,0.0,1094.4
66,1941,51.7,2155.2
67,1942,5.9,1469.5
68,1943,61.9,1391.3
69,1944,12.3,1328.8
70,1945,2.1,1615.9
71,1946,33.4,1236.3
72,1947,69.9,1037.8
73,1948,39.7,1757.4
74,1949,54.5,1782.1
75,1950,89.3,1951.7
76,1951,36.4,1589.8
77,1952,98.9,1640.6
78,1953,38.2,1519.4
79,1954,120.4,1770.7
80,1955,43.3,1553.9
81,1956,102.2,1657.3
82,1957,2.6,1500.0
83,1958,69.5,1804.9
84,1959,54.7,1626.3
85,1960,31.2,1281.9
86,1961,39.0,1260.2
87,1962,40.5,1256.0
88,1963,0.2,1575.0
89,1964,144.6,1140.2
90,1965,48.0,1596.0
91,1966,23.6,1643.5
92,1967,32.2,1023.3
93,1968,9.5,1491.0
94,1969,54.5,1343.0
95,1970,58.5,1122.0
96,1971,32.0,1438.5
97,1972,113.5,1627.5
98,1973,136.0,1149.5
99,1974,29.0,1580.5
100,1975,67.5,1540.5
101,1976,0.5,1557.5
102,1977,19.5,1454.0
103,1978,28.0,1030.0
104,1979,59.0,1453.5
105,1980,88.5,1577.5
106,1981,3.5,1463.5
107,1982,32.5,1575.5
108,1983,29.5,1340.5
109,1984,50.0,879.5
110,1985,4.5,1516.5
111,1986,15.0,1458.0
112,1987,38.0,1089.0
113,1988,28.0,1515.5
114,1989,95.0,1937.5
115,1990,32.5,1512.5
116,1991,55.0,2042.0
117,1992,50.0,1619.5
118,1993,115.0,1872.5
119,1994,50.0,1131.5
120,1995,36.0,1220.0
121,1996,13.0,1333.5
122,1997,29.0,1302.0
123,1998,122.0,1546.5
124,1999,19.5,1622.0
125,2000,66.5,1603.0
126,2001,126.5,1491.0
127,2002,98.5,1294.5
128,2003,101.0,1854.0
129,2004,3.5,1750.0
130,2005,77.0,1482.0
131,2006,67.0,1740.0
132,2007,42.0,1332.0
133,2008,17.5,1857.5
134,2009,142.0,1801.5
135,2010,9.0,1679.5
136,2011,3.5,1479.5
137,2012,50.0,1570.0
138,2013,70.0,1614.0
139,2014,24.5,1808.0
140,2015,92.5,1781.5
141,2016,85.0,1779.0
142,2017,26.0,1430.0
143,2018,48.5,1445.5
144,2019,16.0,1874.0
145,2020,135.0,1590.0
146,2021,43.5,132.0
